POSTCODE,ConfirmedCaseCategory,ConfirmedCaseCount
85003,Greater Than 1000,1440
85004,501-1000,936
85006,Greater Than 1000,3217
85007,Greater Than 1000,2354
85008,Greater Than 1000,8902
85009,Greater Than 1000,8351
85012,Greater Than 1000,1122
85013,Greater Than 1000,2784
85014,Greater Than 1000,3278
85015,Greater Than 1000,5205
85016,Greater Than 1000,4699
85017,Greater Than 1000,5681
85018,Greater Than 1000,3976
85019,Greater Than 1000,4071
85020,Greater Than 1000,3770
85021,Greater Than 1000,5091
85022,Greater Than 1000,4562
85023,Greater Than 1000,3299
85024,Greater Than 1000,2235
85027,Greater Than 1000,3949
85028,Greater Than 1000,1618
85029,Greater Than 1000,5208
85031,Greater Than 1000,5199
85032,Greater Than 1000,6939
85033,Greater Than 1000,9084
85034,Greater Than 1000,1236
85035,Greater Than 1000,8190
85037,Greater Than 1000,7915
85040,Greater Than 1000,4670
85041,Greater Than 1000,9445
85042,Greater Than 1000,5990
85043,Greater Than 1000,5549
85044,Greater Than 1000,3642
85045,501-1000,671
85048,Greater Than 1000,3158
85050,Greater Than 1000,2726
85051,Greater Than 1000,5618
85053,Greater Than 1000,3051
85054,501-1000,726
85083,Greater Than 1000,2398
85085,Greater Than 1000,2557
85086,Greater Than 1000,3863
85087,501-1000,831
85118,Greater Than 1000,1312
85119,Greater Than 1000,1926
85120,Greater Than 1000,3112
85121,0,0
85121 Tribal,Data Suppressed,Data Suppressed
85122,Greater Than 1000,7387
85123,Greater Than 1000,1071
85128,Greater Than 1000,2215
85131,Greater Than 1000,3016
85132,Greater Than 1000,6239
85135,11-100,52
85137,101-500,157
85138,Greater Than 1000,4987
85139,Greater Than 1000,1877
85140,Greater Than 1000,4410
85141,11-100,69
85142,Greater Than 1000,8033
85143,Greater Than 1000,4030
85145,101-500,181
85147,0,0
85147 Tribal,Data Suppressed,Data Suppressed
85172,101-500,265
85173,101-500,302
85190,0,0
85191,11-100,32
85192,101-500,149
85193,101-500,460
85194,501-1000,733
85201,Greater Than 1000,6118
85202,Greater Than 1000,9919
85203,Greater Than 1000,4560
85204,Greater Than 1000,8386
85205,Greater Than 1000,4183
85206,Greater Than 1000,5166
85207,Greater Than 1000,4699
85208,Greater Than 1000,3786
85209,Greater Than 1000,4731
85210,Greater Than 1000,4991
85212,Greater Than 1000,4648
85213,Greater Than 1000,3600
85215,Greater Than 1000,1648
85224,Greater Than 1000,5172
85225,Greater Than 1000,9092
85226,Greater Than 1000,3826
85233,Greater Than 1000,4250
85234,Greater Than 1000,5649
85248,Greater Than 1000,3180
85249,Greater Than 1000,4188
85250,Greater Than 1000,1456
85251,Greater Than 1000,5203
85253,Greater Than 1000,1606
85254,Greater Than 1000,3978
85255,Greater Than 1000,4322
85256,Greater Than 1000,1172
