OBJECTID,tribal_status,POSTCODE,NumberOfPeopleVaccinated,NumberOfPeopleVaccinatedCategory,Shape_Length,Shape_Area
1,Non-Tribal,85003,2402,"1,001-5,000",19678.55802,7393037.776
2,Non-Tribal,85004,1734,"1,001-5,000",20058.21915,7215753.822
3,Non-Tribal,85006,2820,"1,001-5,000",19248.57357,14490813.34
4,Non-Tribal,85007,2026,"1,001-5,000",24443.16669,15202557.05
5,Non-Tribal,85008,5175,"5,001-10,000",34329.64012,37625529.88
6,Non-Tribal,85009,2750,"1,001-5,000",41755.65475,55719674.37
7,Non-Tribal,85012,2472,"1,001-5,000",23681.39269,7827627.745
8,Non-Tribal,85013,5327,"5,001-10,000",26524.42278,14327106.61
9,Non-Tribal,85014,5119,"5,001-10,000",27213.16696,14991805
10,Non-Tribal,85015,4452,"1,001-5,000",23857.22372,18233263.77
11,Non-Tribal,85016,8595,"5,001-10,000",39372.04942,35846428.93
12,Non-Tribal,85017,2783,"1,001-5,000",26314.66653,19731165.69
13,Non-Tribal,85018,9653,"5,001-10,000",40076.97241,36709285.69
14,Non-Tribal,85019,1780,"1,001-5,000",23926.6195,13628987.01
15,Non-Tribal,85020,8167,"5,001-10,000",34298.00008,34758710.31
16,Non-Tribal,85021,7371,"5,001-10,000",29103.03314,26453503.63
17,Non-Tribal,85022,8728,"5,001-10,000",38955.90636,37605004.74
18,Non-Tribal,85023,5041,"5,001-10,000",25611.50706,27995441.25
19,Non-Tribal,85024,4183,"1,001-5,000",67752.7801,61126872.15
20,Non-Tribal,85027,4338,"1,001-5,000",38730.84073,39766914.3
21,Non-Tribal,85028,6229,"5,001-10,000",32172.93105,39968232.6
22,Non-Tribal,85029,5105,"5,001-10,000",35702.704,29307733.72
23,Non-Tribal,85031,1632,"1,001-5,000",18993.69877,15419507.5
24,Non-Tribal,85032,10514,"Greater Than 10,000",36916.60748,46164330.58
25,Non-Tribal,85033,3206,"1,001-5,000",21996.43718,22517990.26
26,Non-Tribal,85034,917,"11-1,000",47447.71666,42749840.12
27,Non-Tribal,85035,2585,"1,001-5,000",29527.03451,20062403.29
28,Non-Tribal,85037,3933,"1,001-5,000",33809.00077,29942255.12
29,Non-Tribal,85040,2359,"1,001-5,000",35021.12477,37213563.64
30,Non-Tribal,85041,6012,"5,001-10,000",51289.40512,56943382.96
31,Non-Tribal,85042,5798,"5,001-10,000",53044.04744,80843428.28
32,Non-Tribal,85043,2504,"1,001-5,000",54253.5804,78549862.75
33,Non-Tribal,85044,8671,"5,001-10,000",35469.13508,39282652.75
34,Non-Tribal,85045,2442,"1,001-5,000",73154.33493,62985252.47
35,Non-Tribal,85048,7009,"5,001-10,000",42504.30239,31247910.15
36,Non-Tribal,85050,8045,"5,001-10,000",53676.9899,62791846.74
37,Non-Tribal,85051,4037,"1,001-5,000",22972.40399,23883759.35
38,Non-Tribal,85053,3360,"1,001-5,000",24127.69113,19901343.62
39,Non-Tribal,85054,2186,"1,001-5,000",39114.31248,27371787.47
40,Non-Tribal,85083,3746,"1,001-5,000",34831.39813,37605693.75
41,Non-Tribal,85085,4603,"1,001-5,000",101500.7508,158919085.1
42,Non-Tribal,85086,7817,"5,001-10,000",73280.80029,205444790
43,Non-Tribal,85087,1385,"1,001-5,000",135440.4649,448474346.4
44,Non-Tribal,85118,5737,"5,001-10,000",166248.8442,979682050.7
45,Non-Tribal,85119,4387,"1,001-5,000",73332.72668,187744733.8
46,Non-Tribal,85120,6532,"5,001-10,000",74174.52366,81618152.04
47,Non-Tribal,85121,0,0,73773.91792,370406.8058
48,Non-Tribal,85122,10255,"Greater Than 10,000",86004.26652,188912250.6
49,Non-Tribal,85123,1239,"1,001-5,000",30325.44813,30803217.54
50,Non-Tribal,85128,1668,"1,001-5,000",151603.7928,322826515.6
51,Non-Tribal,85131,2224,"1,001-5,000",305149.7525,1444725711
52,Non-Tribal,85132,4987,"1,001-5,000",416621.1725,3409269548
53,Non-Tribal,85135,120,"11-1,000",32696.82132,57367080.69
54,Non-Tribal,85137,380,"11-1,000",166765.6572,686855947.6
55,Non-Tribal,85138,5709,"5,001-10,000",143372.0488,258758721.9
56,Non-Tribal,85139,1794,"1,001-5,000",364106.5049,1638604934
57,Non-Tribal,85140,4810,"1,001-5,000",69966.93206,267367237.4
58,Non-Tribal,85141,54,"11-1,000",80439.79925,152387845.6
59,Non-Tribal,85142,8957,"5,001-10,000",102244.8509,276056093.4
60,Non-Tribal,85143,4423,"1,001-5,000",96510.12673,222938784
61,Non-Tribal,85145,294,"11-1,000",114630.8132,332849758.7
62,Non-Tribal,85147,0,0,35721.70501,167876.3241
63,Non-Tribal,85172,168,"11-1,000",99879.8023,225014355.6
64,Non-Tribal,85173,629,"11-1,000",204372.9794,927727080.5
65,Non-Tribal,85190,0,0,324426.4705,1492512745
66,Non-Tribal,85191,33,"11-1,000",7085.760681,1582383.973
67,Non-Tribal,85192,273,"11-1,000",335495.1801,1009804089
68,Non-Tribal,85193,388,"11-1,000",380005.4347,848713365.3
69,Non-Tribal,85194,1974,"1,001-5,000",112295.2655,303171976.3
70,Non-Tribal,85201,5314,"5,001-10,000",30633.49181,32936099.84
71,Non-Tribal,85202,5251,"5,001-10,000",27709.65873,25063791.76
72,Non-Tribal,85203,3917,"1,001-5,000",47230.20272,29177711.03
73,Non-Tribal,85204,6246,"5,001-10,000",32883.11466,37881680.11
74,Non-Tribal,85205,8823,"5,001-10,000",30267.22139,36504562.91
75,Non-Tribal,85206,9749,"5,001-10,000",32344.49689,36057877.95
76,Non-Tribal,85207,9562,"5,001-10,000",69349.4251,165147718.1
77,Non-Tribal,85208,6283,"5,001-10,000",38086.08964,29040586.86
78,Non-Tribal,85209,10818,"Greater Than 10,000",41566.07086,41174081.1
79,Non-Tribal,85210,3713,"1,001-5,000",30398.32736,24638774.08
80,Non-Tribal,85212,6880,"5,001-10,000",64447.57383,116893180.9
81,Non-Tribal,85213,5329,"5,001-10,000",38032.98728,34311750.29
82,Non-Tribal,85215,4772,"1,001-5,000",207781.4708,295476587
83,Non-Tribal,85224,7933,"5,001-10,000",27930.39335,34332276.34
