zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
85001,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.06,759
85002,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.06,345
85003,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,623,602,928",NA,US,33.45,-112.08,6230
85004,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"520,928,480,602,623",NA,US,33.44,-112.07,3930
85005,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.44,-112.12,1050
85006,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,602,928,623",NA,US,33.46,-112.05,20970
85007,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.09,10810
85008,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623,480",NA,US,33.46,-111.98,50760
85009,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,623,602",NA,US,33.44,-112.13,43400
85010,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.46,-111.98,448
85011,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.05,705
85012,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"623,928,480,520,602",NA,US,33.5,-112.07,5880
85013,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,520,602,623,928",NA,US,33.5,-112.08,16300
85014,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,520,602,623,928",NA,US,33.5,-112.05,20350
85015,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.1,35110
85016,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,602,623",NA,US,33.5,-112.02,30040
85017,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.12,37350
85018,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,623,602",NA,US,33.5,-111.98,31390
85019,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623",NA,US,33.5,-112.14,26370
85020,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,602,623",NA,US,33.57,-112.05,28240
85021,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,623,602",NA,US,33.55,-112.09,33700
85022,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.62,-112.05,41320
85023,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623",NA,US,33.63,-112.09,29990
85024,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.68,-112.04,22220
85025,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,520,623,928,602",NA,US,33.45,-112.07,0
85026,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623,480",NA,US,33.45,-111.97,0
85027,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"928,623",NA,US,33.68,-112.09,33100
85028,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,602",NA,US,33.56,-112,18350
85029,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.59,-112.1,39630
85030,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.07,186
85031,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.49,-112.16,31510
85032,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,602",NA,US,33.62,-112,60150
85033,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623",NA,US,33.49,-112.21,56530
85034,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,520,602,623,928",NA,US,33.43,-112.01,4130
85035,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623",NA,US,33.47,-112.19,51760
